	top_level_mp	genes	n_genes	n_male	n_female	n_nonsexed
abnormal blood vessel morphology	cardiovascular system phenotype	Adamts1,Aff4,Arhgap28,Bbs1,Ebf2,Faf2,Fgfr1op2,Folr1,Gnptab,Got2,Grhl2,Hacd1,Jun,Krit1,Maf,Mllt10,Ncor2,Nog,Phgdh,Pigq,Rad9a,Six1,Slc12a5,Ssr1,Tbx20,Tcf21,Tgfbr3,Uggt1,Wdfy3	29	29	28	0
abnormal body length	growth/size/body region phenotype	Mysm1	1	1	1	0
abnormal body size	growth/size/body region phenotype	Phex	1	1	0	0
abnormal body wall morphology	growth/size/body region phenotype	Acat2,Adamts1,Arhgap21,Ascc1,Axin2,Dnaaf3,Fgf9,Fkbp4,Kdelr2,Ncoa2,Pcsk5,Rab34,Rai14,Rbm45,Slc35d1,Tctn3,Tmem147,Tspyl1,Tusc3,Vars2,Vps37d,Vps4a	22	18	21	0
abnormal body weight	growth/size/body region phenotype	Thra	1	0	2	0
abnormal bone structure	skeleton phenotype	2610509F24Rik,AU021092,Aak1,Adal,Adamts4,Adnp2,Adprhl2,Ajap1,Ap1g1,Ap4e1,Arf2,Arhgap10,Arhgap42,Arl2bp,Atp13a4,Atp8b1,Bach2,Bbs5,Bcl11b,Bptf,Bscl2,Cacna1f,Cacnb3,Camkmt,Camsap3,Cdk19,Cep19,Cers5,Cgrrf1,Chd2,Chrna7,Chsy3,Clcnkb,Clpp,Clptm1l,Clvs1,Cnot4,Cntd1,Cog6,Colca2,Coq8b,Cpne7,Csnk1g1,Csnk1g3,Csnk2a2,Cxcl1,Cxxc4,Cyb561,Cyb5d1,Cyp11a1,Cyp17a1,Cyp27b1,Ddx59,Dlk1,Dmd,Dnase1l2,Dnm1,Dntt,Dpp8,Duoxa2,Dym,Eef1b2,Efemp1,Eif4g2,Emx1,Erlin1,Erlin2,Faf2,Fam53c,Fbf1,Fbn2,Fbxw9,Fdxacb1,Fgfr4,Fndc3a,Foxk2,Gatad2b,Ghrh,Ghrhr,Gkap1,Glra4,Gm5155,Gmds,Gnao1,Gnl1,Golph3,Gpr61,Gria1,Gspt2,Hbs1l,Hectd3,Herc4,Hgsnat,Hhatl,Hsbp1l1,Hspb6,Hyal4,Idh3b,Il17re,Inava,Iqsec3,Itch,Kash5,Kcna10,Kcnb2,Kdelr2,Kera,Kif3b,Kiss1r,Klkb1,Krt35,Lce1f,Lepr,Lingo2,Lmcd1,Mamld1,Mapkapk2,Mccc1,Med22,Mgme1,Mgrn1,Minar2,Mkrn2,Mmp2,Mpp6,Mrm3,Myh1,Myh7b,Nalcn,Nav2,Ncald,Ndufa10,Nek1,Neurl4,Nhlh2,Nisch,Nnat,Nnmt,Nog,Npepps,Nr0b1,Nr1d1,Nr2f6,Nrxn1,Odad3,Pak1,Pcnx2,Pcyox1l,Pdcd6ip,Pdhb,Penk,Pepd,Pfkfb3,Phactr1,Phf20l1,Phf5a,Phrf1,Pias2,Pitx3,Pkp4,Plk5,Ppil3,Ppm1a,Ppp1r9b,Ppp2r2a,Prdm14,Prdm4,Prpf6,Prss2,Prss53,Ptp4a2,Rab24,Rab3ip,Rai2,Rbbp4,Rbm22,Rbpms2,Rer1,Retreg3,Rnf10,Robo1,Rrad,Rskr,Rwdd1,Safb2,Scaf11,Scn3b,Scrib,Sdsl,Sgta,Sik3,Slc20a2,Slc38a10,Slc4a10,Slc51b,Slc9a4,Slu7,Smoc2,Sncb,Spin2c,Sra1,Stag3,Steap2,Sun2,Syn3,Taf11,Tafa3,Tbc1d4,Tent5a,Thra,Tmem132a,Tmem198,Tmem273,Tmod2,Tppp,Trappc2l,Trim37,Trip13,Tspan13,Tufm,Ube2j2,Ube4a,Ufsp2,Usp13,Usp38,Vrk3,Wdr11,Wdr41,Wdr45,Wee2,Xkr4,Ythdc2,Zbtb48,Zfp92	234	1	154	87
abnormal brain morphology	nervous system phenotype	Adgb,Arhgef15,Arhgef2,Arl5c,Bhlha9,Cabp4,Cd36,Cfap57,Crlf2,Dlg5,Dusp8,Ebf2,Egfl8,Fbn2,Fbxw18,Fgf15,Fkbp11,Fmc1,Gnptg,Gpc1,Gpr83,Grik5,H1f10,Id3,Il20rb,Ivl,Kcng4,Lifr,Lrrcc1,Maats1,Mapk6,Naa10,Nampt,Nav1,Ncoa1,Notum,Pax6,Pdcd6ip,Pdk2,Polrmt,Prkd2,Ptgis,Sbf1,Scube1,Serping1,Slc25a18,Spast,Taar3,Tmem237,Tmem63c,Tnfrsf11b,Trabd2b,Trpc2,Wnt10b,Zdhhc3,Zfp445	56	72	46	0
abnormal cecum morphology	digestive/alimentary phenotype	Afdn,Ap2s1,Aspscr1,C1qtnf1,Camkv,Cartpt,Cnr2,Cpne7,Crbn,Efemp1,Eppin,Evc2,Fads6,Gm14496,Gopc,Ica1,Kbtbd12,Man2a1,Mgst2,Mllt10,Nfil3,Olfr376,Olfr392,Ptgs1,Sema6c,Shfl,Slc49a4,Srpk3,Tlr4,Tmem248,Wnt10b,Zfp398	32	35	28	0
abnormal cholesterol homeostasis	homeostasis/metabolism phenotype	Abcg8,Abi2,Aire,Ano6,Aqp9,Arid1b,Bscl2,Carmil2,Casq1,Ccdc83,Cdh10,Cdk15,Cep55,Cgref1,Cyld,Eftud2,Emd,Fam135b,Gpcpd1,Hdac7,Hgsnat,Hps6,Irgm2,Itm2c,Klhl8,Krtap17-1,Lrrc56,Mamld1,Mcidas,Mid2,Nab2,Notum,Ntf5,Ofcc1,Olfml2b,Pdpr,Pik3ap1,Ppp2r2b,Prss2,Ptdss1,Pttg1,Slc9a3,Stradb,Syndig1l,Taf2,Tmem132b,Tmem175,Tppp,Tubg1,Usp46,Ydjc	51	0	38	13
abnormal chorioallantoic fusion	embryo phenotype	Alg8,Dbn1,Folr1,Ints10,Ipo9,Krit1,Mtap,Nr6a1,Pigq,Rad9a	10	10	9	0
abnormal circulating HDL cholesterol level	homeostasis/metabolism phenotype	Atp6v1g2	1	0	1	0
abnormal circulating alkaline phosphatase level	homeostasis/metabolism phenotype	Calcr,H2-M3	2	0	2	0
abnormal circulating amylase level	homeostasis/metabolism phenotype	Lcmt1	1	0	1	0
abnormal circulating aspartate transaminase level	homeostasis/metabolism phenotype	Gypc,Pnma2	2	0	0	2
abnormal circulating calcium level	homeostasis/metabolism phenotype	Calcr	1	0	1	0
abnormal circulating creatine kinase level	homeostasis/metabolism phenotype	Pnma2,Tmem63c	2	0	1	1
abnormal circulating glucose level	homeostasis/metabolism phenotype	Tmem63c,Xlr3a	2	0	1	1
abnormal circulating iron level	homeostasis/metabolism phenotype	Ftl1	1	0	0	1
abnormal circulating lactate dehydrogenase level	homeostasis/metabolism phenotype	Atp6v1g2	1	0	0	1
abnormal circulating phosphate level	homeostasis/metabolism phenotype	Gypc,Hikeshi,Nlgn3,Trf,Vps11,Wasf2	6	0	2	4
abnormal circulating serum albumin level	homeostasis/metabolism phenotype	Stx7	1	0	0	1
abnormal circulating total protein level	homeostasis/metabolism phenotype	Xlr3a	1	0	0	1
abnormal circulating triglyceride level	homeostasis/metabolism phenotype	Nlgn3	1	0	0	1
abnormal clavicle morphology	skeleton phenotype	Cyp27b1,Duoxa2,Fbn2,Lrrk1,Mapkapk2,Mllt3,P2rx4,Pnpt1	8	5	6	1
abnormal coat appearance	integument phenotype	Acsm2,Anapc13,Ap1ar,Ap4e1,Apeh,Aph1a,Ash1l,Cabp1,Cep19,Cluh,Dbn1,Ddx39a,Ddx55,Dnah1,Dop1b,Dsg1b,Dsg2,Erg,Fam167a,Fam83h,Far2,Fastkd2,Fgf12,Foxj3,Gpr173,Hyal3,Il2rb,Irgm2,Krt31,Krtap17-1,Lep,Lrmp,Maea,Mdp1,Mroh4,Nacc2,Nctc1,Neurl2,Neurod2,Nub1,P4ha3,Pdik1l,Pgm1,Pla2g4e,Plac8,Plxnb3,Pom121,Ppara,Pptc7,Prg2,Rab24,Rap2b,Rasal2,Rhbdf2,Rpl7l1,Sbk1,Sbno1,Slc35d1,Slc44a1,Slc46a3,Slc8b1,Smarcb1,Snx15,Sptssb,Timmdc1,Tmem79,Tmprss6,Trib1,Tuft1,Ube2b,Usp19,Vdac3,Vezt,Wfdc18,Zfp395,Zfp831	76	106	44	5
abnormal coat/ hair morphology	integument phenotype	2510009E07Rik,Actrt3,Acvr1b,Adamtsl4,Adarb2,Afg1l,Ano7,Asb4,Atp7a,Bnc1,Brd7,Chp1,Cracd,Csmd3,Dact2,Dnm1l,Fam107b,Fam167a,Fam83h,Foxj3,Ggps1,Gls2,Gys2,Hnrnph2,Hspb8,Il2rb,Itsn2,Kdm8,Krtap17-1,Lurap1,Muc3a,Mysm1,Ndufs7,Nedd1,Otogl,Papolg,Pcsk2,Pde6a,Pdia3,Pgm1,Phactr1,Pkmyt1,Prrc2c,Rassf8,Rbms1,Rpl7l1,Rxylt1,Sdr42e1,Shank1,Slc25a13,Slc35c2,Slc39a10,Sparc,Tbc1d30,Tmem79,Tmprss6,Tpo,Trim45,Tspan11,Ttc7,Usp53,Utp20,Utp4,Vapb,Zfp52	65	36	46	8
abnormal coat/hair pigmentation	integument phenotype,pigmentation phenotype	AU040320,Aanat,Adcy1,Afg1l,Alg1,Alg8,Ankle1,Ap2a1,Apex2,Aph1c,Appbp2,Arf2,Arpc2,Arpc5l,Atp7a,Atxn7l3,Barx2,Baz2b,Bend3,Bex2,Bloc1s6,Bms1,Bnc1,Bola2,Cabp2,Carmil2,Caskin1,Cdc123,Cdc23,Cdc42ep5,Cgref1,Chic2,Chmp7,Cog6,Cotl1,Crot,Cxcl17,Cyb561,D430041D05Rik,D5Ertd579e,Dcp2,Ddx59,Dhx38,Dph6,Dram2,Dtnbp1,Dusp7,Ecpas,Edem3,Eif3f,Emc4,Fam24b,Fancl,Fcrla,Fndc3b,Fnta,Gsta4,Gtpbp4,Hdac7,Hectd1,Hif1an,Hnrnph2,Hps6,Hspb9,Hspd1,Igfbp3,Ints7,Irx6,Kansl1,Kdm4c,Klhl5,Kmt2b,Krt35,Lama4,Lmod3,Luc7l,Lyst,Mc1r,Mettl16,Mettl7b,Mfsd8,Mir100,Mir129-2,Mmgt2,Mprip,Mpv17l2,Mpzl2,Myo10,Myo5a,Myom2,Mypn,Mysm1,Naa10,Nadk2,Nars2,Nfkb1,Obp2a,Ovol1,Pah,Pcm1,Per2,Pfn1,Pik3cb,Polr1c,Pon3,Ppfia1,Ppp1r32,Ppp3ca,Ppp5c,Prss56,Psg26,Qsox1,Rcc2,Rex1bd,Rln3,Rnf168,Rxylt1,Samd11,Sbno1,Sdc2,Sel1l3,Senp7,Setd5,Setmar,Sf3b3,Sik3,Slc24a3,Slc24a5,Slc39a10,Smc3,Smoc1,Snap23,Sparc,Spink12,Srbd1,Srsf4,Sytl1,Taok3,Tm9sf3,Tmem175,Tmem30b,Tmem72,Tmie,Tmprss6,Tpte,Trank1,Trf,Trip13,Ttc7,Twf1,Usp39,Utp20,Wdr12,Yeats2,Zc3h11a,Zc3h4,Zswim5,Zzef1	158	182	173	42
abnormal colon morphology	digestive/alimentary phenotype	Fpr3,Il2ra,Slc12a5,Slc17a8,Tfr2,Tmem248	6	8	1	0
abnormal contextual conditioning behavior	behavior/neurological phenotype	Aak1,Atad2b,Cstb,Kansl1,Mbd5,Nab2,Ppp4c,Prrt2,Ptchd1,Sorl1,Sun1,Thra,Tmprss2	13	0	23	23
abnormal coping response	behavior/neurological phenotype	Eps8	1	1	0	0
abnormal cornea morphology	vision/eye phenotype	2610507B11Rik,Abca16,Abhd17b,Abi2,Agap1,Ahcyl1,Ahsa2,Ankrd35,Anpep,Aspa,Barx2,Camsap3,Chmp3,Cidea,Cog6,Coq6,Dap,Diaph3,Dnm1l,Dsc2,Dsg1b,Dusp11,E2f3,Efna4,Elk4,Fbxl18,Fbxo21,Gimap3,Glyctk,Grb7,Gtpbp10,Hip1,Hspb6,Ifi27l2a,Ik,Inpp1,Irx3,Kansl1,Kat14,Klhl5,Knstrn,Ltn1,Mettl5,Mir96,Myo10,Myo5a,Nab2,Ncs1,Nfil3,Nfkb1,Nsun2,Pah,Pepd,Pex3,Pex6,Pfn1,Pitx1,Plekha5,Prdm4,Rab39b,Rnf168,Sdr42e1,Sf3b3,Sik3,Slc17a2,Slc25a28,Slc26a9,Spns2,Spry4,Tacr3,Tcf7l1,Thap1,Tmem108,Tmem63b,Top2a,Trpa1,Trrap,Ubl7,Vps13c,Vps26c,Zc3h13,Zc3h14,Zzz3	83	26	35	34
abnormal craniofacial morphology	craniofacial phenotype	Acvr2a,Adamts6,Aff4,Anapc15,Atp13a1,Bbox1,Bloc1s2,Calu,Cand1,Cecr2,Cep135,Cgn,Cnnm2,Col27a1,Diaph3,Dnmt3b,Dpf2,Dzip1l,Ednra,Esrp1,Fgd1,Fgfr1op2,Fuz,Gdf11,Got2,Grhl2,Hacd1,Hmox1,Inpp5e,Irx1,Jun,L3mbtl3,Laptm4b,Lef1,Lox,Lrrc8a,Mllt10,Mmachc,Mtf1,Mthfd2,Nabp2,Ncor2,Nxn,Pax6,Pfdn5,Pkdcc,Psph,Pygo2,Rab34,Ranbp1,Rgl1,Ror2,Satb2,Scrib,Six1,Slc25a1,Snx27,Snx3,Stag1,Tgfbr3,Tm2d2,Tmem132a,Togaram1,Top2b,Ubxn7,Uggt1,Wdfy3	67	56	73	0
abnormal cranium morphology	craniofacial phenotype,skeleton phenotype	4933402N03Rik,Agap1,Bbx,Bnip2,Brd4,Ccdc57,Ccnd2,Cdc42,Cdk4,Cdk5rap2,Cenpj,Cgrrf1,Cnpy2,Csnk1g3,Ctnnb1,Cyb561,Cyp27b1,Daam2,Ddi2,Dnase1l2,Duoxa2,Eps8l3,Exoc3l2,Fbn2,Gabpa,Gkn1,Gmds,Gnl1,Golph3,Hbs1l,Hsp90aa1,Kat14,Klk11,Klk15,Ltbp1,Lztr1,Mettl5,Miga2,Mthfd2,Mysm1,Nek1,Nisch,Nsun2,Nxn,Os9,Otub1,Pcm1,Phip,Pthlh,Rhobtb3,Rnf168,Rsph1,Setd5,Sik3,Sla2,Slc25a1,Slc25a21,Slc38a10,Smoc1,Spred1,Sra1,Sypl,Thpo,Tmem132a,Trabd2b,Trip6,Ttc28,Wac,Xpnpep1	69	40	31	16
abnormal cued conditioning behavior	behavior/neurological phenotype	Cstb,Nab2,Prrt2	3	0	1	2
abnormal defecation	digestive/alimentary phenotype	Fbxo11,Fgf11,Hmx3,Tmem183a	4	1	1	3
abnormal digestive system physiology	digestive/alimentary phenotype	Eps8	1	0	0	1
abnormal digit morphology	limbs/digits/tail phenotype	Adk,Aim2,Ajuba,Apbb1ip,Atg7,Babam1,Bbip1,Bmp6,Camk4,Cast,Churc1,Cnppd1,Cs,Dnase1l2,Fam124a,Fam160b2,Fam185a,Fam219a,Fam221a,Fam53a,Fam71d,Fam71f2,Fam83d,Fbn2,Fbxw15,Fbxw16,Fbxw18,Fbxw20,Fgf14,Galk2,Hunk,Ift172,Kbtbd3,Krt26,Krt27,Krt28,Krt33a,Krt33b,Krt72,Krtap8-1,Lhx5,Mapkapk3,Myo10,Ndufs7,Nfam1,Ngfr,Niban1,Nxn,Pdgfd,Pias2,Pitx1,Plcg2,Prss12,Prss33,Prss54,Prss57,Pstpip2,Rabl2,Rffl,Rhag,Rhobtb3,Rnf148,Rnf168,Rnf208,Sgip1,Sla2,Smoc1,Sox14,Spred1,Spry4,Tomm6,Trip13,Ube2n,Zc3h8,Zfp474	75	78	88	15
abnormal duodenum morphology	digestive/alimentary phenotype	Cadps2,Fads6,Fdx2,Il2ra,Prkg1,Rbm22,Slc12a5,Stpg4,Tmem248	9	6	6	0
abnormal ear morphology	hearing/vestibular/ear phenotype	Cib2,Cib3,Col9a2,Elmod1,Eps8l2,Gabpa,Il2rb,Kcnj11,Kcnma1,Klhdc7b,Marveld2,Mpzl2,Nptn,Prkra,Slc25a1	15	10	10	1
abnormal ear position	hearing/vestibular/ear phenotype,craniofacial phenotype,growth/size/body region phenotype	Lrba	1	1	0	0
abnormal embryo development	embryo phenotype	Alg10b,Alg6,Ankrd11,Axin2,Bmp4,Csk,Ift172,Ipo9,Mthfd2,Nr6a1,Phgdh,Pigq,Rad9a,Slc25a1,Smo,Tmem70	16	16	13	0
